Adress,Anläggningsnummer,Antal_WC,Antal_urinoarer,Beskrivning,Bild,CHANGE_DATE,CID,CREATE_DATE,Driftansvar,El_Service,FEATURE_TYPE_OBJECT_ID,FEATURE_TYPE_VERSION_ID,Fabrikat,Färg,Historisk_litterering,Huvudman,Index,Innehåller,Installerad,Litterering,MAIN_ATTRIBUTE_DESCRIPTION,MAIN_ATTRIBUTE_VALUE,Modell,Namn,OBJECT_ID,Projektnr,Pumpgrop,Status,Tillgänglighetsanpassad,VALID_FROM,VALID_TO,VERSION_ID,Vattenservice,fid,FEATURE_TYPE_NAME,lon,lat,CHANGE_DATE_fmt,CREATE_DATE_fmt
Frödingsvägen 13,G84,,,Inbyggd i byggnad,,202502111020.0,1659928601688845.0,201902081058.0,Miljötekniska,,15303196,1,,Okänt,,Trafikkontoret,Offentlig toalett,,,G84,Frödingsvägen 13,Frödingsvägen 13,,Frödingsvägen 13,16599286,,Nej,I funktion,Ja,201902081000.0,,1,,1,Toalett,18.00287085334272,59.32999303270969,,
Norr Mälarstrand 3 - kajen,G60,,,"Tillgänglighetsanpassad WC, 2 x WC och 1 x urionar",,202401170844.0,1538072701186011.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150077BT,,,G60,Norr Mälarstrand 3 - kajen,Norr Mälarstrand 3 - kajen,Jumbo,Norr Mälarstrand 3 - kajen,15380727,,Nej,I funktion,Ja,201802240000.0,,1,,2,Toalett,18.052494515205368,59.32688902919962,,
Fjällgatan 37,G85,,,Inbyggd endast i drift sommartid,,202209060834.0,1659929701688853.0,201902081104.0,Fjällgatans cafestuga,,15303196,1,,Grön,,Trafikkontoret,Offentlig toalett,,,G85,Fjällgatan 37,Fjällgatan 37,,Fjällgatan 37,16599297,,Nej,I funktion,Ja,201902081100.0,,1,,3,Toalett,18.086913633873227,59.317364878259156,,
Sveavägen 39A,G67,,,Tillgänglighetsanpassad,,202401170844.0,1538073501186019.0,201802282113.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150078BT,,,G67,Sveavägen 39A,Sveavägen 39A,Midi,Sveavägen 39A,15380735,,Nej,I funktion,Ja,201802240000.0,,1,,4,Toalett,18.06104526469309,59.337913929851055,,
Norra Bantorget - Vasagatan 59,G14,1.0,,Tillgänglighetsanpassad WC,,202401170845.0,1530322701670122.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön/spegel,,Trafikkontoret,1150022BT,,,G14,Norra Bantorget - Vasagatan 59,Norra Bantorget - Vasagatan 59,Midi,Norra Bantorget - Vasagatan 59,15303227,,Nej,I funktion,Ja,201801080000.0,,1,,5,Toalett,18.055312213257885,59.33495546647865,,
Eriksdalsbadet,G40,,,"Tillgänglighetsanpassad WC, 2 x WC, 1 x urinoar",,202401170845.0,1530325601134740.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150056BT,,,G40,Eriksdalsbadet,Eriksdalsbadet,Jumbo,Eriksdalsbadet,15303256,,Ja,I funktion,Ja,201801080000.0,,1,,6,Toalett,18.07078424334475,59.304223974566334,,
Bagarmossen C t-bana,G17,,,Tillgänglighetsanpassad WC,,202401170845.0,1530323001460637.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150025BT,,,G17,Bagarmossen C t-bana,Bagarmossen C t-bana,Midi,Bagarmossen C t-bana,15303230,,Nej,I funktion,Ja,201801080000.0,,1,,7,Toalett,18.130954894128482,59.27622645878713,,
Sätradalsparken - Lövsätragränd 42,G43,,,Tillgänglighetsanpassad WC,,202410101222.0,1530326005054937.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grön,,Trafikkontoret,1150060BT,,,G43,Sätradalsparken - Lövsätragränd 42,Sätradalsparken - Lövsätragränd 42,Midi,Sätradalsparken - Lövsätragränd 42,15303260,,Nej,I funktion,Ja,201801080000.0,,1,,8,Toalett,17.91615911766791,59.285635718068605,,
Sankt Eriksplan 6C,G33,,,Tillgänglighetsanpassad WC,,202401170846.0,1530324801134732.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Grå,,Trafikkontoret,1150047BT,,,G33,Sankt Eriksplan 6C,Sankt Eriksplan 6C,Midi,Sankt Eriksplan 6C,15303248,,Nej,I funktion,Ja,201801080000.0,,1,,9,Toalett,18.03728219874699,59.339645874420476,,
Västerholmsparken,G39,,,Tillgänglighetsanpassad WC,,202401170847.0,1530325501670185.0,201801081657.0,JCDecaux,,15303196,1,JCDecaux,Röd,,Trafikkontoret,1150055BT,,,G39,Västerholmsparken,Västerholmsparken,Midi,Västerholmsparken,15303255,,Nej,I funktion,Ja,201801080000.0,,1,,10,Toalett,17.898857315368105,59.27156699847077,,
